5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
110,"13101","034004","3","","","","東京都","千代田区","外神田","４丁目",484,443,438,284,-,130,24,5,41,-,870,808,797,573,-,173,51,11,62,-,1.7975206612,1.8239277652,1.8196347032,2.0176056338,-,1.3307692308,2.1250000000,2.2000000000,1.5121951220,-
111,"13101","034005","3","","","","東京都","千代田区","外神田","５丁目",177,144,136,95,-,39,2,8,33,-,333,284,266,207,-,54,5,18,49,-,1.8813559322,1.9722222222,1.9558823529,2.1789473684,-,1.3846153846,2.5000000000,2.2500000000,1.4848484848,-
112,"13101","034006","3","","","","東京都","千代田区","外神田","６丁目",410,334,332,166,13,135,18,2,76,-,710,604,599,342,34,196,27,5,106,-,1.7317073171,1.8083832335,1.8042168675,2.0602409639,2.6153846154,1.4518518519,1.5000000000,2.5000000000,1.3947368421,-
113,"13101","0350","2","","","","東京都","千代田区","鍛冶町","",142,74,73,56,-,16,1,1,68,-,263,148,146,119,-,26,1,2,115,-,1.8521126761,2.0000000000,2.0000000000,2.1250000000,-,1.6250000000,1.0000000000,2.0000000000,1.6911764706,-
114,"13101","035001","3","","","","東京都","千代田区","鍛冶町","１丁目",64,35,34,24,-,10,-,1,29,-,122,75,73,59,-,14,-,2,47,-,1.9062500000,2.1428571429,2.1470588235,2.4583333333,-,1.4000000000,-,2.0000000000,1.6206896552,-
115,"13101","035002","3","","","","東京都","千代田区","鍛冶町","２丁目",78,39,39,32,-,6,1,-,39,-,141,73,73,60,-,12,1,-,68,-,1.8076923077,1.8717948718,1.8717948718,1.8750000000,-,2.0000000000,1.0000000000,-,1.7435897436,-
116,"13101","0360","2","","","","東京都","千代田区","神田鍛冶町","",69,53,51,46,-,2,3,2,16,-,120,94,89,78,-,6,5,5,26,-,1.7391304348,1.7735849057,1.7450980392,1.6956521739,-,3.0000000000,1.6666666667,2.5000000000,1.6250000000,-
117,"13101","0370","2","","","","東京都","千代田区","神田紺屋町","",88,56,54,39,-,15,-,2,32,-,126,92,88,66,-,22,-,4,34,-,1.4318181818,1.6428571429,1.6296296296,1.6923076923,-,1.4666666667,-,2.0000000000,1.0625000000,-
118,"13101","0380","2","","","","東京都","千代田区","神田北乗物町","",29,27,27,16,-,10,1,-,2,-,55,48,48,33,-,14,1,-,7,-,1.8965517241,1.7777777778,1.7777777778,2.0625000000,-,1.4000000000,1.0000000000,-,3.5000000000,-
119,"13101","0390","2","","","","東京都","千代田区","神田富山町","",69,67,67,29,-,22,16,-,2,-,113,107,107,59,-,27,21,-,6,-,1.6376811594,1.5970149254,1.5970149254,2.0344827586,-,1.2272727273,1.3125000000,-,3.0000000000,-
120,"13101","0400","2","","","","東京都","千代田区","神田美倉町","",51,50,50,-,-,49,1,-,1,-,54,53,53,-,-,52,1,-,1,-,1.0588235294,1.0600000000,1.0600000000,-,-,1.0612244898,1.0000000000,-,1.0000000000,-
121,"13101","0410","2","","","","東京都","千代田区","岩本町","",2071,2000,1991,422,95,1304,170,9,71,-,3031,2930,2911,890,207,1615,199,19,101,-,1.4635441816,1.4650000000,1.4620793571,2.1090047393,2.1789473684,1.2384969325,1.1705882353,2.1111111111,1.4225352113,-
122,"13101","041001","3","","","","東京都","千代田区","岩本町","１丁目",560,547,545,222,42,201,80,2,13,-,931,912,908,463,87,268,90,4,19,-,1.6625000000,1.6672760512,1.6660550459,2.0855855856,2.0714285714,1.3333333333,1.1250000000,2.0000000000,1.4615384615,-
123,"13101","041002","3","合算地域あり","","0420","東京都","千代田区","岩本町","２丁目",983,946,940,171,53,668,48,6,37,-,1451,1394,1380,364,120,836,60,14,57,-,1.4760935910,1.4735729387,1.4680851064,2.1286549708,2.2641509434,1.2514970060,1.2500000000,2.3333333333,1.5405405405,-
124,"13101","041003","3","","","","東京都","千代田区","岩本町","３丁目",528,507,506,29,-,435,42,1,21,-,649,624,623,63,-,511,49,1,25,-,1.2291666667,1.2307692308,1.2312252964,2.1724137931,-,1.1747126437,1.1666666667,1.0000000000,1.1904761905,-
125,"13101","0420","2","秘匿地域","041002","","東京都","千代田区","神田西福田町","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
126,"13101","0430","2","","","","東京都","千代田区","神田東松下町","",141,137,135,77,-,58,-,2,4,-,248,237,230,169,-,61,-,7,11,-,1.7588652482,1.7299270073,1.7037037037,2.1948051948,-,1.0517241379,-,3.5000000000,2.7500000000,-
127,"13101","0440","2","","","","東京都","千代田区","神田東紺屋町","",40,40,39,8,-,31,-,1,-,-,47,47,46,15,-,31,-,1,-,-,1.1750000000,1.1750000000,1.1794871795,1.8750000000,-,1.0000000000,-,1.0000000000,-,-
128,"13101","0450","2","","","","東京都","千代田区","神田岩本町","",27,27,26,25,-,1,-,1,-,-,49,49,48,46,-,2,-,1,-,-,1.8148148148,1.8148148148,1.8461538462,1.8400000000,-,2.0000000000,-,1.0000000000,-,-
129,"13101","0460","2","","","","東京都","千代田区","東神田","",1822,1740,1729,530,-,1113,86,11,82,-,2749,2625,2606,1059,-,1437,110,19,124,-,1.5087815587,1.5086206897,1.5072296125,1.9981132075,-,1.2911051213,1.2790697674,1.7272727273,1.5121951220,-
130,"13101","046001","3","","","","東京都","千代田区","東神田","１丁目",933,877,872,356,-,493,23,5,56,-,1438,1366,1357,688,-,630,39,9,72,-,1.5412647374,1.5575826682,1.5561926606,1.9325842697,-,1.2778904665,1.6956521739,1.8000000000,1.2857142857,-
131,"13101","046002","3","","","","東京都","千代田区","東神田","２丁目",397,377,373,53,-,294,26,4,20,-,519,476,471,114,-,329,28,5,43,-,1.3073047859,1.2625994695,1.2627345845,2.1509433962,-,1.1190476190,1.0769230769,1.2500000000,2.1500000000,-
132,"13101","046003","3","","","","東京都","千代田区","東神田","３丁目",492,486,484,121,-,326,37,2,6,-,792,783,778,257,-,478,43,5,9,-,1.6097560976,1.6111111111,1.6074380165,2.1239669421,-,1.4662576687,1.1621621622,2.5000000000,1.5000000000,-
133,"13101","0470","2","","","","東京都","千代田区","神田和泉町","",351,328,325,165,18,123,19,3,23,-,666,613,607,368,58,156,25,6,53,-,1.8974358974,1.8689024390,1.8676923077,2.2303030303,3.2222222222,1.2682926829,1.3157894737,2.0000000000,2.3043478261,-
134,"13101","0480","2","","","","東京都","千代田区","神田佐久間町","",727,647,644,245,13,347,39,3,80,-,1142,1030,1019,442,33,494,50,11,112,-,1.5708390646,1.5919629057,1.5822981366,1.8040816327,2.5384615385,1.4236311239,1.2820512821,3.6666666667,1.4000000000,-
135,"13101","048001","3","","","","東京都","千代田区","神田佐久間町","１丁目",19,18,18,17,-,1,-,-,1,-,22,21,21,20,-,1,-,-,1,-,1.1578947368,1.1666666667,1.1666666667,1.1764705882,-,1.0000000000,-,-,1.0000000000,-
136,"13101","048002","3","","","","東京都","千代田区","神田佐久間町","２丁目",55,37,37,17,-,19,1,-,18,-,91,63,63,41,-,21,1,-,28,-,1.6545454545,1.7027027027,1.7027027027,2.4117647059,-,1.1052631579,1.0000000000,-,1.5555555556,-
137,"13101","048003","3","","","","東京都","千代田区","神田佐久間町","３丁目",408,383,380,189,13,164,14,3,25,-,648,601,590,328,33,208,21,11,47,-,1.5882352941,1.5691906005,1.5526315789,1.7354497354,2.5384615385,1.2682926829,1.5000000000,3.6666666667,1.8800000000,-
138,"13101","048004","3","","","","東京都","千代田区","神田佐久間町","４丁目",245,209,209,22,-,163,24,-,36,-,381,345,345,53,-,264,28,-,36,-,1.5551020408,1.6507177033,1.6507177033,2.4090909091,-,1.6196319018,1.1666666667,-,1.0000000000,-
139,"13101","0490","2","","","","東京都","千代田区","神田平河町","",4,3,3,2,-,1,-,-,1,-,12,11,11,9,-,2,-,-,1,-,3.0000000000,3.6666666667,3.6666666667,4.5000000000,-,2.0000000000,-,-,1.0000000000,-
140,"13101","0500","2","","","","東京都","千代田区","神田松永町","",21,19,19,13,-,5,1,-,2,-,53,47,47,30,-,13,4,-,6,-,2.5238095238,2.4736842105,2.4736842105,2.3076923077,-,2.6000000000,4.0000000000,-,3.0000000000,-
141,"13101","0510","2","","","","東京都","千代田区","神田花岡町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,"13101","0520","2","","","","東京都","千代田区","神田佐久間河岸","",98,94,93,5,-,79,9,1,4,-,119,113,112,9,-,90,13,1,6,-,1.2142857143,1.2021276596,1.2043010753,1.8000000000,-,1.1392405063,1.4444444444,1.0000000000,1.5000000000,-
143,"13101","0530","2","","","","東京都","千代田区","神田練塀町","",174,170,169,60,-,104,5,1,4,-,291,286,283,116,-,157,10,3,5,-,1.6724137931,1.6823529412,1.6745562130,1.9333333333,-,1.5096153846,2.0000000000,3.0000000000,1.2500000000,-
144,"13101","0540","2","","","","東京都","千代田区","神田相生町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,"13101","0550","2","","","","東京都","千代田区","二番町","",789,784,779,248,-,419,112,5,5,-,1642,1637,1630,467,-,835,328,7,5,-,2.0811153359,2.0880102041,2.0924261874,1.8830645161,-,1.9928400955,2.9285714286,1.4000000000,1.0000000000,-
146,"13101","0560","2","","","","東京都","千代田区","三番町","",1625,1612,1601,937,-,511,153,11,13,-,3339,3312,3294,1958,-,887,449,18,27,-,2.0547692308,2.0545905707,2.0574640849,2.0896478122,-,1.7358121331,2.9346405229,1.6363636364,2.0769230769,-
147,"13101","0570","2","","","","東京都","千代田区","四番町","",1137,1130,1122,566,227,192,137,8,7,-,2543,2536,2522,1381,398,460,283,14,7,-,2.2365875110,2.2442477876,2.2477718360,2.4399293286,1.7533039648,2.3958333333,2.0656934307,1.7500000000,1.0000000000,-
148,"13101","0580","2","","","","東京都","千代田区","五番町","",582,578,577,256,-,310,11,1,4,-,1013,1005,1003,583,-,390,30,2,8,-,1.7405498282,1.7387543253,1.7383015598,2.2773437500,-,1.2580645161,2.7272727273,2.0000000000,2.0000000000,-
149,"13101","0590","2","","","","東京都","千代田区","六番町","",633,605,603,506,-,76,21,2,28,-,1448,1410,1403,1165,-,185,53,7,38,-,2.2875197472,2.3305785124,2.3266998342,2.3023715415,-,2.4342105263,2.5238095238,3.5000000000,1.3571428571,-
150,"13102","","1","","","","東京都","中央区","","",79256,77889,77221,35488,7101,30647,3985,668,1367,-,140501,138979,137970,71908,14423,44957,6682,1009,1522,-,1.7727490663,1.7843212777,1.7866901491,2.0262623986,2.0311223771,1.4669298789,1.6767879548,1.5104790419,1.1133869788,-
151,"13102","0010","2","","","","東京都","中央区","八重洲","",53,53,51,36,-,14,1,2,-,-,93,93,89,71,-,17,1,4,-,-,1.7547169811,1.7547169811,1.7450980392,1.9722222222,-,1.2142857143,1.0000000000,2.0000000000,-,-
152,"13102","001001","3","","","","東京都","中央区","八重洲","１丁目",25,25,25,24,-,1,-,-,-,-,58,58,58,54,-,4,-,-,-,-,2.3200000000,2.3200000000,2.3200000000,2.2500000000,-,4.0000000000,-,-,-,-
153,"13102","001002","3","","","","東京都","中央区","八重洲","２丁目",28,28,26,12,-,13,1,2,-,-,35,35,31,17,-,13,1,4,-,-,1.2500000000,1.2500000000,1.1923076923,1.4166666667,-,1.0000000000,1.0000000000,2.0000000000,-,-
154,"13102","0020","2","","","","東京都","中央区","京橋","",268,266,263,114,-,133,16,3,2,-,359,357,351,190,-,144,17,6,2,-,1.3395522388,1.3421052632,1.3346007605,1.6666666667,-,1.0827067669,1.0625000000,2.0000000000,1.0000000000,-
155,"13102","002001","3","","","","東京都","中央区","京橋","１丁目",75,73,72,25,-,40,7,1,2,-,94,92,91,42,-,41,8,1,2,-,1.2533333333,1.2602739726,1.2638888889,1.6800000000,-,1.0250000000,1.1428571429,1.0000000000,1.0000000000,-
156,"13102","002002","3","","","","東京都","中央区","京橋","２丁目",119,119,117,46,-,71,-,2,-,-,170,170,165,85,-,80,-,5,-,-,1.4285714286,1.4285714286,1.4102564103,1.8478260870,-,1.1267605634,-,2.5000000000,-,-
157,"13102","002003","3","","","","東京都","中央区","京橋","３丁目",74,74,74,43,-,22,9,-,-,-,95,95,95,63,-,23,9,-,-,-,1.2837837838,1.2837837838,1.2837837838,1.4651162791,-,1.0454545455,1.0000000000,-,-,-
158,"13102","0030","2","","","","東京都","中央区","銀座","",2214,2201,2169,836,215,1038,80,32,13,-,3331,3315,3275,1332,566,1265,112,40,16,-,1.5045167118,1.5061335756,1.5099124020,1.5933014354,2.6325581395,1.2186897881,1.4000000000,1.2500000000,1.2307692308,-
159,"13102","003001","3","","","","東京都","中央区","銀座","１丁目",897,897,887,244,208,409,26,10,-,-,1495,1495,1480,409,553,484,34,15,-,-,1.6666666667,1.6666666667,1.6685456595,1.6762295082,2.6586538462,1.1833740831,1.3076923077,1.5000000000,-,-
160,"13102","003002","3","","","","東京都","中央区","銀座","２丁目",402,402,395,177,7,191,20,7,-,-,567,567,559,278,13,235,33,8,-,-,1.4104477612,1.4104477612,1.4151898734,1.5706214689,1.8571428571,1.2303664921,1.6500000000,1.1428571429,-,-
161,"13102","003003","3","","","","東京都","中央区","銀座","３丁目",162,159,154,53,-,94,7,5,3,-,235,232,226,106,-,111,9,6,3,-,1.4506172840,1.4591194969,1.4675324675,2.0000000000,-,1.1808510638,1.2857142857,1.2000000000,1.0000000000,-
162,"13102","003004","3","","","","東京都","中央区","銀座","４丁目",95,95,95,71,-,19,5,-,-,-,134,134,134,105,-,22,7,-,-,-,1.4105263158,1.4105263158,1.4105263158,1.4788732394,-,1.1578947368,1.4000000000,-,-,-
163,"13102","003005","3","","","","東京都","中央区","銀座","５丁目",28,28,28,22,-,5,1,-,-,-,45,45,45,34,-,9,2,-,-,-,1.6071428571,1.6071428571,1.6071428571,1.5454545455,-,1.8000000000,2.0000000000,-,-,-
164,"13102","003006","3","","","","東京都","中央区","銀座","６丁目",43,40,40,35,-,4,1,-,3,-,67,64,64,57,-,5,2,-,3,-,1.5581395349,1.6000000000,1.6000000000,1.6285714286,-,1.2500000000,2.0000000000,-,1.0000000000,-
165,"13102","003007","3","","","","東京都","中央区","銀座","７丁目",178,176,174,127,-,43,4,2,2,-,253,248,246,184,-,56,6,2,5,-,1.4213483146,1.4090909091,1.4137931034,1.4488188976,-,1.3023255814,1.5000000000,1.0000000000,2.5000000000,-
166,"13102","003008","3","","","","東京都","中央区","銀座","８丁目",409,404,396,107,-,273,16,8,5,-,535,530,521,159,-,343,19,9,5,-,1.3080684597,1.3118811881,1.3156565657,1.4859813084,-,1.2564102564,1.1875000000,1.1250000000,1.0000000000,-
167,"13102","0040","2","","","","東京都","中央区","新富","",1115,1110,1084,447,-,604,33,26,5,-,1773,1768,1729,878,-,800,51,39,5,-,1.5901345291,1.5927927928,1.5950184502,1.9642058166,-,1.3245033113,1.5454545455,1.5000000000,1.0000000000,-
168,"13102","004001","3","","","","東京都","中央区","新富","１丁目",632,629,609,282,-,301,26,20,3,-,982,979,953,521,-,392,40,26,3,-,1.5537974684,1.5564387917,1.5648604269,1.8475177305,-,1.3023255814,1.5384615385,1.3000000000,1.0000000000,-
169,"13102","004002","3","","","","東京都","中央区","新富","２丁目",483,481,475,165,-,303,7,6,2,-,791,789,776,357,-,408,11,13,2,-,1.6376811594,1.6403326403,1.6336842105,2.1636363636,-,1.3465346535,1.5714285714,2.1666666667,1.0000000000,-
170,"13102","0050","2","","","","東京都","中央区","入船","",1478,1474,1458,460,-,916,82,16,4,-,2261,2255,2239,952,-,1181,106,16,6,-,1.5297699594,1.5298507463,1.5356652949,2.0695652174,-,1.2893013100,1.2926829268,1.0000000000,1.5000000000,-
171,"13102","005001","3","","","","東京都","中央区","入船","１丁目",532,530,523,229,-,269,25,7,2,-,850,846,839,465,-,340,34,7,4,-,1.5977443609,1.5962264151,1.6042065010,2.0305676856,-,1.2639405204,1.3600000000,1.0000000000,2.0000000000,-
172,"13102","005002","3","","","","東京都","中央区","入船","２丁目",505,505,502,110,-,357,35,3,-,-,697,697,694,224,-,432,38,3,-,-,1.3801980198,1.3801980198,1.3824701195,2.0363636364,-,1.2100840336,1.0857142857,1.0000000000,-,-
173,"13102","005003","3","","","","東京都","中央区","入船","３丁目",441,439,433,121,-,290,22,6,2,-,714,712,706,263,-,409,34,6,2,-,1.6190476190,1.6218678815,1.6304849885,2.1735537190,-,1.4103448276,1.5454545455,1.0000000000,1.0000000000,-
174,"13102","0060","2","","","","東京都","中央区","湊","",2739,2729,2695,1280,-,1319,96,34,10,-,4788,4773,4723,2499,-,2037,187,50,15,-,1.7480832421,1.7489923049,1.7525046382,1.9523437500,-,1.5443517817,1.9479166667,1.4705882353,1.5000000000,-
175,"13102","006001","3","","","","東京都","中央区","湊","１丁目",582,576,570,325,-,219,26,6,6,-,1011,1001,995,653,-,280,62,6,10,-,1.7371134021,1.7378472222,1.7456140351,2.0092307692,-,1.2785388128,2.3846153846,1.0000000000,1.6666666667,-
176,"13102","006002","3","","","","東京都","中央区","湊","２丁目",554,553,550,262,-,269,19,3,1,-,952,950,941,518,-,393,30,9,2,-,1.7184115523,1.7179023508,1.7109090909,1.9770992366,-,1.4609665428,1.5789473684,3.0000000000,2.0000000000,-
177,"13102","006003","3","","","","東京都","中央区","湊","３丁目",1603,1600,1575,693,-,831,51,25,3,-,2825,2822,2787,1328,-,1364,95,35,3,-,1.7623206488,1.7637500000,1.7695238095,1.9163059163,-,1.6413959085,1.8627450980,1.4000000000,1.0000000000,-
178,"13102","0070","2","","","","東京都","中央区","明石町","",1823,1648,1640,631,314,520,175,8,175,-,3013,2838,2822,1206,592,817,207,16,175,-,1.6527701591,1.7220873786,1.7207317073,1.9112519810,1.8853503185,1.5711538462,1.1828571429,2.0000000000,1.0000000000,-
179,"13102","0080","2","","","","東京都","中央区","築地","",5009,4874,4780,2375,43,1870,492,94,135,-,7969,7803,7672,4318,87,2528,739,131,166,-,1.5909363146,1.6009437833,1.6050209205,1.8181052632,2.0232558140,1.3518716578,1.5020325203,1.3936170213,1.2296296296,-
180,"13102","008001","3","","","","東京都","中央区","築地","１丁目",602,602,585,180,-,383,22,17,-,-,899,899,877,316,-,530,31,22,-,-,1.4933554817,1.4933554817,1.4991452991,1.7555555556,-,1.3838120104,1.4090909091,1.2941176471,-,-
181,"13102","008002","3","","","","東京都","中央区","築地","２丁目",786,745,733,396,-,283,54,12,41,-,1155,1102,1084,673,-,341,70,18,53,-,1.4694656489,1.4791946309,1.4788540246,1.6994949495,-,1.2049469965,1.2962962963,1.5000000000,1.2926829268,-
182,"13102","008003","3","","","","東京都","中央区","築地","３丁目",537,518,503,219,-,256,28,15,19,-,778,747,727,370,-,306,51,20,31,-,1.4487895717,1.4420849421,1.4453280318,1.6894977169,-,1.1953125000,1.8214285714,1.3333333333,1.6315789474,-
183,"13102","008004","3","","","","東京都","中央区","築地","４丁目",444,443,441,184,-,234,23,2,1,-,636,632,630,315,-,284,31,2,4,-,1.4324324324,1.4266365688,1.4285714286,1.7119565217,-,1.2136752137,1.3478260870,1.0000000000,4.0000000000,-
184,"13102","008005","3","合算地域あり","","0090","東京都","中央区","築地","５丁目",334,274,270,4,-,24,242,4,60,-,389,329,325,4,-,26,295,4,60,-,1.1646706587,1.2007299270,1.2037037037,1.0000000000,-,1.0833333333,1.2190082645,1.0000000000,1.0000000000,-
185,"13102","008006","3","","","","東京都","中央区","築地","６丁目",780,774,752,504,-,208,40,22,6,-,1374,1368,1337,951,-,317,69,31,6,-,1.7615384615,1.7674418605,1.7779255319,1.8869047619,-,1.5240384615,1.7250000000,1.4090909091,1.0000000000,-
186,"13102","008007","3","","","","東京都","中央区","築地","７丁目",1526,1518,1496,888,43,482,83,22,8,-,2738,2726,2692,1689,87,724,192,34,12,-,1.7942332896,1.7957839262,1.7994652406,1.9020270270,2.0232558140,1.5020746888,2.3132530120,1.5454545455,1.5000000000,-
187,"13102","0090","2","秘匿地域","008005","","東京都","中央区","浜離宮庭園","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
188,"13102","0100","2","","","","東京都","中央区","八丁堀","",2088,2082,2055,989,21,914,131,27,6,-,3276,3269,3229,1776,62,1201,190,40,7,-,1.5689655172,1.5701248799,1.5712895377,1.7957532861,2.9523809524,1.3140043764,1.4503816794,1.4814814815,1.1666666667,-
189,"13102","010001","3","","","","東京都","中央区","八丁堀","１丁目",66,65,65,27,-,35,3,-,1,-,92,91,91,42,-,43,6,-,1,-,1.3939393939,1.4000000000,1.4000000000,1.5555555556,-,1.2285714286,2.0000000000,-,1.0000000000,-
190,"13102","010002","3","","","","東京都","中央区","八丁堀","２丁目",635,634,628,312,-,280,36,6,1,-,995,993,982,569,-,366,47,11,2,-,1.5669291339,1.5662460568,1.5636942675,1.8237179487,-,1.3071428571,1.3055555556,1.8333333333,2.0000000000,-
